"X","Y"
265535.13893159,593759.92416363
265579.72263159,593735.18806363
265634.9517939,593701.75818614
265662.90451175,593692.90166855
265671.77591827,593690.0453008
265686.55281827,593685.2114008
265692.52730352,593683.23616425
265715.18120352,593675.66736425
265731.65179559,593670.00452787
265738.32039559,593667.64662787
265792.09430215,593646.87066964
265802.27531235,593642.59595577
265804.57245658,593641.6476509
265810.24899979,593641.2685027
265823.38679979,593640.2246027
265823.38649062,593640.22071169
265840.57156549,593638.91818466
265848.12976549,593638.23568466
265858.46864249,593637.24793809
265875.91354249,593635.48983809
265899.51530673,593632.82775448
265924.51460673,593629.70695448
265955.61464689,593625.32754158
265980.60934689,593621.40664158
265997.7763408,593618.56041312
266026.3961408,593613.55911312
266044.86641781,593610.15238742
266063.59111781,593606.51658742
266078.01769661,593603.60503496
266101.65656029,593598.65296047
266114.20016084,593596.27890319
266135.04246084,593592.08120319
266149.98489071,593588.952883
266163.02259071,593586.119283
266184.54455656,593581.19229633
266191.86655656,593579.43079633
266252.28208985,593562.87825747
266286.95168985,593552.20145747
266575.48978599,593409.06918625
266803.56173116,593181.63948765
266938.06523116,592995.23678765
267001.22461726,592895.85941602
267022.10024699,592858.29595531
267032.5634612,592856.2493775
267326.40719023,592748.91460177
267572.70780377,592556.03925618
267747.36111908,592296.49906542
267833.27470847,591995.69390202
267822.04064787,591683.06203056
267820.65044787,591675.94783056
267713.50900964,591382.33855273
267520.96139643,591136.14531061
267261.81675583,590961.41766237
267082.36949959,590909.93354428
267089.92289834,590891.7561735
267099.27149834,590865.9968735
267129.20832367,590768.16808103
267135.48022367,590743.16648103
267153.08893263,590657.12224141
267157.07023263,590632.12324141
267165.1786851,590567.87926522
267167.1227851,590547.07286522
267169.48039116,590516.92690562
267169.97659116,590509.05210562
267170.44458536,590501.12336743
267171.47058536,590482.48266743
267172.64514393,590453.4749274
267174.38326361,590386.51773204
267174.76686654,590378.20757023
267177.18213345,590337.74023175
267177.12804516,590337.73700352
267178.6246093,590314.58747578
267178.93049239,590307.58827115
267178.96409814,590307.05188702
267180.88586409,590252.90485493
267180.95778522,590244.32550297
267181.06242323,590239.0557222
267179.93330051,590167.71903179
267178.71050051,590143.99963179
267169.0062204,590047.36483272
267166.1487204,590028.28573272
267152.55189037,589955.84172338
267151.01349037,589949.03862338
267144.03999778,589920.19651992
267140.00129778,589904.51491992
267132.03345111,589880.22553209
267144.60321251,589849.92302442
267153.89145436,589837.83543753
267169.65332773,589799.82692673
267178.95461378,589787.7181729
267194.65061502,589749.85811216
267203.88565459,589737.83973714
